Start,End
4822.235,4822.417
4823.567,4823.821
4824.488,4824.825
4826.178,4826.794
4827.645,4828.09
4829.581,4830.214
4832.671,4832.922
4834.645,4835.711
4835.907,4836.113
4836.564,4837.1
4837.412,4837.509
4837.713,4838.003
4842.752,4843.079
4843.256,4843.452
4844.702,4844.804
4847.077,4848.221
4848.722,4848.936
4850.6,4850.952
4853.159,4853.72
4855.18,4855.48
4856.86,4856.959
4857.212,4857.311
4857.935,4858.328
4859.036,4859.568
4863.246,4863.395
4865.082,4865.229
4868.159,4868.355
4869.421,4869.543
4870.226,4870.53
4872.316,4872.486
4874.367,4874.535
4875.961,4876.088
4879.984,4881.3
4882.211,4882.845
4885.208,4885.545
4886.064,4886.382
4888.982,4889.777
4892.326,4892.597
4896.646,4897.472
4898.403,4900.607
4903.485,4903.877
4906.752,4909.004
4915.815,4916.07
4917.55,4917.985
4919.923,4920.189
4924.031,4924.804
4926.292,4926.871
4927.708,4928.735
4928.993,4929.161
4930.71,4931.487
4934.203,4934.462
4935.134,4935.335
4936.082,4936.671
4937.941,4938.634
4939.258,4939.465
4939.629,4939.847
4941.16,4941.613
4941.969,4942.817
4943.106,4943.586
4943.916,4944.054
4945.536,4946.576
4949.604,4949.809
4950.393,4950.903
4952.666,4953.319
4955.824,4956.12
4956.326,4957.549
4959.494,4959.791
4962.271,4962.553
4964.298,4966.001
4967.582,4967.772
4969.57,4970.031
4970.221,4970.337
4971.387,4971.812
4972.797,4973.071
4973.947,4974.264
4975.214,4976.091
4976.752,4977.009
4979.383,4979.548
4979.955,4980.197
4981.05,4981.41
4981.628,4981.736
4984.786,4985.075
4987.088,4987.246
4989.369,4990.146
4990.868,4991.125
4991.678,4992.097
4995.888,4996.741
4997.186,4998.032
4998.863,4999.544
4999.728,4999.883
5001.538,5001.653
5003.871,5004.124
5005.515,5005.7
5006.753,5006.881
5009.318,5009.561
5010.51,5010.67
5011.127,5011.325
5011.57,5011.826
5015.2,5015.496
5015.781,5016.224
5017.04,5017.367
5017.976,5018.144
5019.153,5019.621
5022.309,5022.485
5023.01,5023.534
5024.078,5024.296
5024.967,5025.129
5027.126,5027.35
5027.723,5028.01
5028.677,5029.1
5029.605,5029.952
5031.195,5032.119
5032.512,5033.253
5033.376,5033.991
5033.387,5033.263
5035.507,5036.516
5038.504,5038.989
5040.2,5040.396
5042.65,5042.958
5044.04,5044.924
5048.244,5049.549
5051.776,5052.018
5052.885,5052.967
5054.09,5054.195
5054.428,5055.577
5057.683,5058.209
5059.154,5059.358
5060.105,5060.77
5061.164,5060.725
5061.265,5061.366
5061.68,5063.385
5064.855,5065.93
5069.608,5069.8
5072.251,5072.472
5073.08,5073.415
5076.274,5076.971
5079.684,5080.315
5082.319,5082.428
5084.16,5084.383
5085.052,5085.409
5085.851,5086.197
5086.369,5086.684
5089.34,5089.48
5091.565,5091.822
5092.636,5092.964
5093.236,5093.39
5097.089,5097.791
5099.011,5099.301
5100.845,5101.144
5102.65,5103.184
5103.942,5104.28
5106.074,5106.653
5107.584,5107.971
5108.181,5108.445
5109.258,5109.914
5111.251,5111.672
5112.341,5112.888
5114.616,5114.754
5116.975,5117.143
5117.393,5118.007
5119.434,5119.773
5123.605,5123.995
5125.534,5125.948
5126.115,5126.381
5126.782,5127.485
5127.806,5128.688
5129.544,5129.851
5129.994,5130.481
5134.836,5134.956
5135.699,5136.146
5137.992,5138.146
5138.931,5139.132
5139.984,5140.29
5143.631,5143.839
5145.233,5145.944
5148.273,5148.826
5151.408,5151.596
5152.514,5153.119
5153.788,5154.552
5154.998,5155.411
5157.383,5157.64
5157.992,5159.278
5163.962,5164.27
5164.526,5164.71
5166.084,5166.721
5169.469,5169.904
5171.688,5172.097
5175.292,5177.892
5178.327,5178.568
5181.043,5181.356
5181.608,5183.569
5186.263,5186.533
5187.071,5187.258
5188.619,5188.816
5190.395,5190.716
5203.258,5203.62
5206.56,5206.873
5213.108,5213.358
5216.104,5216.26
5216.777,5217.524
5220.292,5220.765
5222.844,5223.094
5224.195,5224.525
5227.155,5227.924
5229.096,5229.453
5229.905,5230.154
5232.886,5233.237
5236.373,5236.603
5236.923,5237.038
5239.22,5239.39
5241.722,5241.912
5243.253,5243.672
5244.54,5244.77
5245.839,5246.165
5246.912,5247.752
5250.343,5250.534
5251.082,5251.608
5253.288,5253.599
5254.651,5254.836
5255.267,5255.605
5260.162,5261.256
5261.521,5261.688
5261.981,5262.216
5264.919,5265.062
5265.148,5265.31
5266.797,5266.967
5267.455,5267.848
5269.419,5269.751
5269.874,5270.033
5270.34,5270.524
5271.416,5271.586
5272.413,5272.777
5273.671,5273.803
5275.005,5275.304
5275.602,5276.139
5276.496,5276.698
5278.282,5278.423
5278.635,5280.122
5282.567,5282.923
5284.536,5284.718
5284.888,5284.968
5288.899,5289.885
5293.382,5293.857
5295.51,5295.712
5296.181,5296.393
5298.659,5298.763
5301.344,5302
5303.223,5303.618
5305.208,5305.528
5306.135,5307.037
5310.286,5311.82
5313.014,5313.372
5316.826,5317.355
5318.336,5318.519
5320.635,5320.744
5321.009,5321.214
5321.852,5322.009
5323.11,5323.421
5324.882,5325.425
5326.449,5326.883
5327.351,5327.538
5327.759,5327.934
5333.756,5333.992
5334.633,5335.35
5336.408,5336.585
5337.581,5338.087
5338.724,5338.943
5339.587,5340.229
5340.965,5341.116
5341.547,5341.848
5342.759,5342.898
5343.782,5343.994
5345.398,5345.586
5346.016,5346.121
5347.391,5347.671
5348.064,5349.113
5350.114,5350.378
5352.816,5353.016
5354.947,5355.584
5357.006,5357.354
5359.85,5360.03
5360.891,5361.306
5365.397,5365.754
5366.552,5366.772
5368.149,5368.441
5369.65,5370.468
5371.701,5371.939
5373.883,5374.19
5375.41,5378.174
5378.623,5378.853
5379.174,5380.59
5382.028,5382.4
5387.303,5387.718
5391.852,5392.245
5393.027,5393.68
5394.997,5395.973
